"","Block","ST","G","yield"
"1","1","Autumn","V1",2.3645150136576
"2","2","Autumn","V1",2.13223621943247
"3","3","Autumn","V1",2.24357540936048
"4","4","Autumn","V1",2.27594351259533
"5","1","Spring","V1",1.94851219877692
"6","2","Spring","V1",1.88726505806902
"7","3","Spring","V1",2.08138263969267
"8","4","Spring","V1",1.88864091539043
"9","1","Autumn","V2",2.24221084566524
"10","2","Autumn","V2",1.99247430811371
"11","3","Autumn","V2",2.15658435850682
"12","4","Autumn","V2",2.27439744712413
"13","1","Spring","V2",1.53333671586652
"14","2","Spring","V2",1.66654534798192
"15","3","Spring","V2",1.68400143963276
"16","4","Spring","V2",1.77631404776841
"17","1","Autumn","V3",2.86588964943007
"18","2","Autumn","V3",2.58122534949143
"19","3","Autumn","V3",2.60714396857094
"20","4","Autumn","V3",3.05841360148762
"21","1","Spring","V3",2.16320336871058
"22","2","Spring","V3",1.9862429879224
"23","3","Spring","V3",2.17936991730885
"24","4","Spring","V3",2.34576096390071
"25","1","Autumn","V4",2.1274232153518
"26","2","Autumn","V4",1.84834370420726
"27","3","Autumn","V4",1.86912767406773
"28","4","Autumn","V4",1.68842042977663
"29","1","Spring","V4",1.65521168257975
"30","2","Spring","V4",1.52320061488479
"31","3","Spring","V4",1.65465401478895
"32","4","Spring","V4",1.68458048046746
"33","1","Autumn","V5",2.27421242263639
"34","2","Autumn","V5",2.07692883495113
"35","3","Autumn","V5",2.21059461479576
"36","4","Autumn","V5",1.9439589585112
"37","1","Spring","V5",1.75586491899446
"38","2","Spring","V5",1.74789108869882
"39","3","Spring","V5",1.5602950820064
"40","4","Spring","V5",1.85433471282707
"41","1","Autumn","V6",2.22471983202403
"42","2","Autumn","V6",2.15667312417416
"43","3","Autumn","V6",2.29097958828394
"44","4","Autumn","V6",2.11279542075081
"45","1","Spring","V6",1.73580627466968
"46","2","Spring","V6",1.95193816310665
"47","3","Spring","V6",1.8026328188576
"48","4","Spring","V6",2.07329215140655
"49","1","Autumn","V7",2.2482264556864
"50","2","Autumn","V7",2.37867774600827
"51","3","Autumn","V7",2.33863103182447
"52","4","Autumn","V7",2.20593932709436
"53","1","Spring","V7",2.18908730237504
"54","2","Spring","V7",2.07714791668608
"55","3","Spring","V7",2.01077127759195
"56","4","Spring","V7",2.03318608967498
